id,mass,timestep,x,y,z,vx,vy,vz,
20696,0.34128453300371,0,10554.3760776764,-1116.45137035771,-89.8011063090102,-1.86899710844698,-220.889872382497,-3.66387124328063,
20697,0.214492833709288,0,12755.071710398,-2199.69503746061,-180.300000043141,-3.02984414821849,-217.506140042737,7.96951793891977,
20698,0.77128743990087,0,14184.9695016614,-2915.10876620115,-237.324772362293,-3.52931765972327,-215.356759878822,-3.15867009201957,
20699,0.188237594528791,0,11190.454133324,-1429.70249769373,-116.607772739228,-2.27323513657577,-219.927944863545,3.03877599862933,
20700,0.119501594485297,0,14371.5031048883,-3006.00991596575,-238.908581903431,-3.49998624647642,-215.097315636465,-7.66606015977086,
20701,0.124049203150098,0,15001.2128649291,-3309.85105535627,-265.36954957324,-3.70014011492158,-214.197927477124,-5.95242446694739,
20702,0.342649292115432,0,13565.6334555011,-2607.56864147346,-207.535619224721,-3.24936335456218,-216.283907798009,-2.28456077202087,
20703,0.202225166195704,0,13751.4366299043,-2700.94650361124,-220.225733860208,-3.39425827694038,-215.995338662351,19.0261634244996,
20704,0.563736336689721,0,11305.3118235809,-1486.839747696,-118.489203871287,-2.2835737224105,-219.75694987132,6.23403312382413,
20705,0.353950197641966,0,12921.3916059097,-2282.07137963834,-184.10185288081,-3.04826740547973,-217.257065121736,6.57612054565569,
20706,0.404819612793945,0,15435.8486881136,-3521.89436847099,-286.530105223306,-3.86540932859451,-213.587428984277,-20.8001067952143,
20707,0.792727814020064,0,13873.4160663927,-2754.91982385958,-219.007306214343,-3.34183791949385,-215.828243037967,-7.50258238760247,
20708,0.18877176461751,0,12811.6435452524,-2228.2909460579,-184.588566982792,-3.08615398735662,-217.414787897212,-13.3307114613411,
20709,0.107491024045941,0,14153.19378303,-2897.14622172109,-229.945222734285,-3.4287380452006,-215.415895720208,-6.24354401696441,
20710,0.115953142475654,0,12552.8232924078,-2102.35287365034,-172.054418430553,-2.94448850337557,-217.817368025271,2.53954803454871,
20711,0.754040342207879,0,15184.0771450113,-3406.72614328299,-271.725875043883,-3.73571896866298,-213.942064644328,-8.99312680844442,
20712,0.117959818668433,0,14916.6380669209,-3269.39238619084,-261.851225600017,-3.67495079609041,-214.31696548821,-2.20379273989065,
20713,0.259401296568315,0,13455.435225709,-2551.33047446948,-205.904217601777,-3.25419267723174,-216.444146674664,-21.9698631926606,
20714,0.168561158795879,0,13775.8680697671,-2707.60243120335,-216.531095737082,-3.33091777120704,-215.969874996226,-4.49081408485393,
20715,0.674453071726388,0,12743.8589835064,-2200.98678980769,-180.869671334701,-3.04215090880696,-217.519620666434,-3.61046133708833,
