id,mass,timestep,x,y,z,vx,vy,vz,
3198,2.11004,0,9595.59813877667,-640.652688861502,-51.3361380955666,0.512973326206919,-220.062694641836,9.75432240247477,
3199,2.06807,0,9594.75433959094,-639.082158062601,-52.3581058339335,0.417323226841097,-219.140459705416,10.6021072822891,
3200,1.992393,0,9594.18783428507,-639.209682330599,-52.1450107071997,0.201385389970129,-218.984516461547,10.5518182475333,
3201,1.975001,0,9593.99546955034,-640.556663892706,-52.6360345472494,0.777515780829166,-219.63118842538,10.1903216623344,
3202,1.738203,0,9594.19078137369,-639.386586267072,-52.1959462758377,-0.232551843633927,-220.170409617526,10.4486256272772,
3203,1.735476,0,9593.27714062296,-640.347980993863,-51.050753830234,-0.175990701662478,-219.858051339025,10.0304846475897,
3204,1.726052,0,9593.93979986901,-640.798202910757,-52.2141040181082,0.465388178560291,-220.005781062793,9.90735931829996,
3205,1.635695,0,9594.55253932585,-640.782633815685,-51.0816615584497,-0.554668797572174,-219.681206033856,10.315670251406,
3206,1.602583,0,9594.48637865384,-639.564742015401,-51.8515594820934,-0.358417312541914,-219.365271003097,9.40271891504944,
3207,1.584295,0,9593.71613742455,-639.50439313841,-52.392765895579,-0.136145679042421,-219.699548029397,11.2256202840302,
3208,1.583771,0,9594.91608179225,-638.52618359099,-52.5979544464071,0.400607524290623,-219.292173464154,10.0792859532117,
3209,1.456427,0,9595.42403163583,-639.987375397508,-52.1988708829262,0.413626125316173,-220.320155147969,10.444071460042,
3210,1.412219,0,9593.53647864379,-640.645725488432,-51.7168312753952,0.589802005388366,-220.887013574444,9.8626157933965,
3211,1.40824,0,9593.237890758,-640.158345132245,-52.6277868446749,0.54642316163743,-219.046878712949,9.75527526157872,
3212,1.384666,0,9593.18107166858,-640.513502990204,-51.4880982002384,-0.122558878439639,-219.710407492548,10.4365543535074,
3213,1.376366,0,9594.65842410233,-640.272947377959,-51.7565555912735,0.14109718240193,-219.887072313405,10.6859170858124,
3214,1.357664,0,9591.37353401241,-638.339248076341,-53.7951389773548,0.280047963780779,-219.605480209693,10.2508532523283,
3215,1.342349,0,9594.1155820887,-640.106831914446,-51.6943076099251,0.238458908837547,-220.331513683306,10.0169065827097,
3216,1.339812,0,9593.9482367479,-639.748607753647,-51.7920062013994,-0.206914342753505,-219.817847849253,10.4779266649592,
3217,1.287455,0,9592.89351653657,-640.470212328608,-52.7092865189932,0.635471083343878,-220.172325325542,10.0400235939253,
3218,1.272908,0,9593.86023127282,-641.292087419279,-52.2511960863365,0.257407717663866,-219.510801407594,10.6878839341524,
3219,1.267506,0,9594.70521639127,-638.517917339765,-51.6580547465766,0.137723609088694,-219.662677689202,9.90220354434135,
3220,1.258121,0,9593.11427139416,-637.570924565847,-52.4692857145504,0.1015931038024,-219.81416319408,10.041941943117,
3221,1.235098,0,9593.85666067923,-639.563815391597,-52.169408128997,-0.054613522895982,-220.715934271565,10.2515142907678,
3222,1.218729,0,9594.19939382344,-638.697261053052,-52.9298511840484,0.209610934068971,-219.827303443876,10.8228538644942,
3223,1.212436,0,9593.46736651391,-639.377414242993,-51.8373413770267,0.0131580226248764,-220.311919852852,9.94316039790794,
3224,1.210353,0,9593.45485850237,-640.264472901546,-52.3815786509031,-0.639795556448667,-220.070231192457,9.36608787781331,
3225,1.198013,0,9594.79657619006,-640.287343432528,-51.4720778169182,0.53760167925551,-219.812414705241,9.72084695485235,
3226,1.154739,0,9594.18553616838,-639.163626041566,-52.7493323147587,0.0432016052526246,-220.119086652005,10.6217648684456,
3227,1.136488,0,9592.21368444962,-639.30680743141,-52.3896239274902,0.87785571066475,-220.344818074192,9.75222225385137,
