id,mass,timestep,x,y,z,x,y,z,
56,0.864861,0,6656.48774730554,499.235944557876,22.1202934914061,0.0032577549071583,-220.020479608757,9.80680196110984,
57,0.854103,0,6655.5038620202,500.265241976264,23.7120860034084,-0.422300346204185,-219.912366601463,8.86432575968081,
58,0.851357,0,6655.4996618537,500.327852447269,24.197103665686,0.695458630304362,-220.432739394156,9.99841637807573,
59,0.848067,0,6655.19268262786,501.795962698566,23.9498786668822,0.051445270454319,-220.429896960449,9.51890431495891,
60,0.83971,0,6655.42325977326,500.040833231248,23.9927477658711,-0.889546192196253,-220.062742824873,10.4225971936262,
61,0.837439,0,6654.06513163894,499.394802441794,23.1485233937002,-0.485820805669002,-220.125886162469,10.0737333008251,
62,0.821566,0,6654.45944966867,500.194662949062,22.5386202990757,0.026544241406671,-220.467293007061,9.70430812294159,
63,0.800882,0,6654.76017791917,499.6467573149,23.6223216562544,0.239457408791922,-219.852241090282,10.1732495312443,
64,0.790313,0,6653.36560067282,501.466028516073,23.9960912692981,0.140763558458847,-220.239078003884,10.2509498007824,
65,0.774549,0,6655.44117374203,499.734988276618,24.8883401489642,-0.257875854945121,-220.290511083783,10.3521277872842,
66,0.763379,0,6655.33284606447,500.632015184664,23.8237571383653,0.92901224651629,-219.5574722531,10.2179515902973,
67,0.761964,0,6654.75028645901,500.232787684209,24.1755979724541,0.0555647181408072,-220.195256709341,9.6496008464469,
68,0.759833,0,6655.10661341882,500.187125623993,23.7321718773523,-0.221939222426297,-219.858614386474,10.9082547491652,
69,0.758853,0,6655.0922392313,500.15744544599,24.1444738685132,0.579373469988161,-220.040539455363,10.247130290608,
70,0.756635,0,6655.55676121527,499.540370618388,24.0824532594599,-0.836277844196218,-219.576145046596,9.8216946083809,
71,0.743776,0,6655.20006550867,499.36550074412,23.8740067719131,0.692023437857658,-219.854835047626,10.8583723437259,
72,0.736961,0,6653.84693091292,501.243413795267,23.3785259331675,-0.0001589377201728,-220.41432845597,10.1070798358496,
73,0.720496,0,6654.72514104651,500.232220197199,25.7960560263187,-0.0555485405620566,-220.137559671745,10.5336649328634,
74,0.708993,0,6654.29945625185,501.06223905058,23.8325962535447,-0.690168735396021,-220.107775458371,10.1594027220896,
75,0.700354,0,6655.312091959,501.388072052073,23.5217615583671,-0.128316693041996,-220.398215326377,9.37757973543772,
76,0.698718,0,6655.42631517337,499.946477132925,23.7110571998085,0.684200826038035,-219.848359338377,9.250393632426,
77,0.698195,0,6654.93062972963,500.143356030832,24.6013136902184,0.0530540786898552,-220.133975030581,9.35576780527538,
78,0.669485,0,6656.5644663869,503.31212532673,25.2813129581923,0.15024987038779,-220.153089648451,10.2493345229388,
79,0.663864,0,6654.93440694723,499.980684524875,24.3684037583993,0.409649426398642,-220.090473875849,9.94048009812222,
80,0.661193,0,6655.210217033,500.606834124739,23.2597878865604,0.264838565232843,-219.089640322347,10.4472879885227,
81,0.65904,0,6654.45860011775,500.617899418865,23.5317699355684,0.265509215484543,-219.782627561148,9.38097551804402,
82,0.646895,0,6654.62286430024,500.626330690206,23.7309774496003,0.198980455763608,-219.675176459056,9.07532138513254,
83,0.644804,0,6655.49882631901,500.785888215515,24.7027973929667,-0.0432587027623471,-220.45739468536,10.0021743136511,
84,0.643477,0,6654.59220641624,499.823493123611,23.7244529322342,0.386498981092643,-220.034515058289,10.7692337251328,
85,0.637369,0,6654.32917911197,499.947384958494,24.1848783855302,0.789189275705731,-220.00910569017,10.3301694147852,
86,0.633282,0,6655.6374610664,499.103817938646,24.2534766178687,-0.0461057449684169,-220.33606941017,10.3714136433678,
87,0.633249,0,6655.09890843462,499.841351381503,24.2269556695731,0.372730376473576,-220.06459969801,10.7495005158449,
88,0.625698,0,6655.35533308777,500.752423459279,24.4236623572031,0.39400968806065,-220.129773477658,10.2455196890584,
